kingdom,phylum,class,order,family,genus,species,commonname
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,anser,Greylag goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Redhead
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,ferina,Common pochard
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,fuligula,Tufted duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Cackling goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye
Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,leucophrys,Ringed teal
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cape barren goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,atratus,Black swan
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Whooper swan
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan
